Publishing Year,language_code,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,units sold,publisher_code,author_rating
1975.0,0.0,3.42,155903,0,34160.0,20496.0,4.88,1,7000,3,3
1987.0,0.0,4.23,145267,0,12437.5,7462.5,1.99,2,6250,3,2
2015.0,0.0,3.31,138669,0,47795.0,28677.0,8.69,3,5500,0,3
2008.0,0.0,4.04,150898,0,41250.0,24750.0,7.5,3,5500,1,2
2011.0,0.0,4.04,198283,0,37952.5,22771.5,7.99,4,4750,6,2
2015.0,0.0,4.08,83354,0,19960.0,0.0,4.99,5,4000,0,2
2011.0,0.0,4.03,155977,0,27491.67,16495.002,6.99,6,3933,3,2
1994.0,0.0,3.9,167997,1,26182.0,15709.2,6.89,8,3800,1,2
2012.0,0.0,4.34,189938,0,26093.67,15656.202,6.99,9,3733,3,2
1905.0,0.0,4.2,199872,0,23792.34,14275.404,6.49,10,3666,7,2
2004.0,0.0,4.13,179415,0,17964.0,0.0,4.99,11,3600,0,2
1954.0,0.0,3.9,189671,0,21564.0,12938.4,5.99,11,3600,6,2
2010.0,0.0,4.42,206792,0,3431.34,0.0,0.99,13,3466,0,1
1935.0,0.0,4.18,195424,0,6897.34,4138.404,1.99,13,3466,3,2
1922.0,0.0,4.29,173469,0,21797.82,13078.692,6.54,15,3333,7,2
1974.0,0.0,3.76,139411,0,16297.34,0.0,4.99,16,3266,0,2
1897.0,0.0,3.8,159752,0,15968.0,0.0,4.99,17,3200,0,2
2006.0,0.0,3.9,156328,0,15968.0,0.0,4.99,17,3200,0,2
1948.0,0.0,4.28,160860,0,6234.67,3740.802,1.99,18,3133,8,2
2006.0,0.0,4.17,133271,0,3035.34,0.0,0.99,19,3066,0,2
2013.0,0.0,3.74,138454,0,11702.67,0.0,3.99,21,2933,0,2
2000.0,0.0,4.1,142092,0,8569.34,0.0,2.99,22,2866,0,2
1991.0,5.0,3.87,153821,0,2772.0,0.0,0.99,23,2800,0,2
1993.0,0.0,4.38,157395,0,8171.67,0.0,2.99,24,2733,0,2
1996.0,0.0,4.12,156869,0,2639.34,1583.604,0.99,25,2666,0,2
1981.0,1.0,3.65,158215,0,7774.0,0.0,2.99,26,2600,0,2
1993.0,0.0,3.83,159249,0,26904.06,16142.436,10.91,28,2466,6,2
2004.0,0.0,4.13,199572,0,2376.0,0.0,0.99,29,2400,0,2
1891.0,0.0,3.77,171599,1,9576.0,5745.6,3.99,29,2400,1,2
1856.0,0.0,3.64,158877,0,9308.67,0.0,3.99,30,2333,0,2
1961.0,0.0,4.22,178432,0,4509.34,0.0,1.99,31,2266,0,2
2010.0,0.0,4.64,144822,0,2178.0,0.0,0.99,32,2200,0,1
2003.0,0.0,4.03,181323,0,13178.0,7906.8,5.99,32,2200,3,2
2006.0,0.0,4.14,161001,1,2045.34,1227.204,0.99,34,2066,3,2
2007.0,0.0,4.35,150736,0,17980.0,10788.0,8.99,35,2000,7,2
2015.0,0.0,3.7,99342,0,1964.16,0.0,0.99,36,1984,0,2
2011.0,0.0,4.07,140076,0,1964.16,1178.496,0.99,36,1984,0,2
1986.0,0.0,4.25,135979,0,1949.31,0.0,0.99,37,1969,0,2
2005.0,0.0,4.08,172302,0,1949.31,0.0,0.99,37,1969,0,2
1995.0,0.0,3.94,134849,0,20309.55,12185.73,10.65,41,1907,7,2
2003.0,0.0,4.14,136427,0,1873.08,0.0,0.99,42,1892,0,2
2003.0,0.0,4.0,151500,0,7485.24,0.0,3.99,43,1876,0,2
1998.0,0.0,3.52,113915,0,3703.39,2222.034,1.99,44,1861,0,2
2000.0,0.0,4.0,134177,0,11057.54,6634.524,5.99,45,1846,3,2
1999.0,0.0,3.83,148563,0,12791.7,7675.02,6.99,46,1830,0,2
